,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
0,0,enrollee,18,female,1,center,0.8743802309036255,1,graduate,25,male,2
1,0,enrollee,18,female,1,center,0.5897460335341722,2,parent,40,female,2
2,0,enrollee,18,female,1,center,0.48833927373162545,3,post-doc,34,male,3
3,1,graduate,25,male,2,center,0.5255790039551861,2,parent,40,female,2
4,1,graduate,25,male,2,center,0.4311715364456177,3,post-doc,34,male,3
5,2,parent,40,female,2,center,0.8018450618889978,3,post-doc,34,male,3
6,0,enrollee,18,female,1,university,0.7711057662963867,1,graduate,25,male,2
7,0,enrollee,18,female,1,university,0.8351067553492417,2,parent,40,female,2
8,0,enrollee,18,female,1,university,0.8442755341529846,3,post-doc,34,male,3
9,1,graduate,25,male,2,university,0.8241144664321685,2,parent,40,female,2
10,1,graduate,25,male,2,university,0.8254740238189697,3,post-doc,34,male,3
11,2,parent,40,female,2,university,0.8622300285765541,3,post-doc,34,male,3
12,0,enrollee,18,female,1,scientific/science,0.5585129427466676,1,graduate,25,male,2
13,0,enrollee,18,female,1,scientific/science,0.7761464946313651,2,parent,40,female,2
14,0,enrollee,18,female,1,scientific/science,0.7784089678051763,3,post-doc,34,male,3
15,1,graduate,25,male,2,scientific/science,0.4495527744293213,2,parent,40,female,2
16,1,graduate,25,male,2,scientific/science,0.47288572788238525,3,post-doc,34,male,3
17,2,parent,40,female,2,scientific/science,0.8142837285995483,3,post-doc,34,male,3
18,0,enrollee,18,female,1,educational/education,0.5538985729217529,1,graduate,25,male,2
19,0,enrollee,18,female,1,educational/education,0.6831176469851955,2,parent,40,female,2
20,0,enrollee,18,female,1,educational/education,0.6498426616379472,3,post-doc,34,male,3
21,1,graduate,25,male,2,educational/education,0.6449573424433089,2,parent,40,female,2
22,1,graduate,25,male,2,educational/education,0.6074471473693848,3,post-doc,34,male,3
23,2,parent,40,female,2,educational/education,0.7078133399597812,3,post-doc,34,male,3
24,0,enrollee,18,female,1,program,0.9001418292606983,1,graduate,25,male,2
25,0,enrollee,18,female,1,program,0.7381341677348071,2,parent,40,female,2
26,0,enrollee,18,female,1,program,0.7686814527917788,3,post-doc,34,male,3
27,1,graduate,25,male,2,program,0.6969918039731832,2,parent,40,female,2
28,1,graduate,25,male,2,program,0.7035975102898541,3,post-doc,34,male,3
29,2,parent,40,female,2,program,0.8433306971190037,3,post-doc,34,male,3
